train_loss,test_clean_acc,test_clean_loss,test_asr,test_asr_loss,epoch
2.3013677182404892,0.1,2.3022287772719268,1.0,2.2809633388640775,0
2.2959123304128037,0.1,2.3015811625559617,1.0,2.1188513731500906,1
2.2647709761129318,0.1,2.3197280540587797,1.0,1.726016153195861,2
2.258171998631314,0.1,2.3137798005608237,1.0,1.7447254202168458,3
2.254529245674153,0.1,2.307986100008533,1.0,1.758529262178263,4
2.2508242087595907,0.1017,2.2999379756344354,0.9957,1.78576500856193,5
2.2450895577745364,0.1274,2.295038165560194,0.8708,1.773421118973167,6
2.2402616925251757,0.1396,2.2846838000473704,0.7964,1.8261052620638707,7
2.2341292983735612,0.1697,2.2685489654541016,0.7284,1.8643596073624435,8
2.2190038188339196,0.1982,2.244474669170987,0.5946,1.9257067745658243,9
2.207091504655531,0.2177,2.228195964910422,0.566,1.9525523808351748,10
2.1964025473045874,0.2322,2.2144844228295004,0.5105,1.9955688699795182,11
2.1836783562779734,0.2519,2.197193318871176,0.5397,1.9631848145442403,12
2.1670266856317935,0.2624,2.1866483627610904,0.5559,1.9371282963236427,13
2.1553094966332322,0.2779,2.1722098960997953,0.5298,1.9498254364463175,14
2.1447964641444215,0.2862,2.1671639961801517,0.5977,1.8928835513485465,15
2.1317435262148337,0.2942,2.160303784024184,0.699,1.7992277008712672,16
2.114907657398897,0.3055,2.1509351365885157,0.8103,1.6865087390705278,17
2.096363116408248,0.3139,2.144316896511491,0.8978,1.5863162666369395,18
2.0844582950367645,0.3172,2.1397852388916503,0.8595,1.6218782488707524,19
2.0760085942495206,0.3309,2.129430477786216,0.9375,1.5385956194750063,20
2.069224169796995,0.3255,2.133154162176096,0.9536,1.5170454151311499,21
2.0530265944693094,0.3425,2.117099386111946,0.9685,1.5001406069773777,22
2.0420864719868925,0.3643,2.0945861430684474,0.8832,1.5901791214183638,23
2.0348221956921355,0.3766,2.086378067162386,0.9266,1.5421689900623006,24
2.0292722111772696,0.3824,2.0795721863485443,0.9044,1.5630150251327806,25
2.0244043842910804,0.3831,2.0757883726411563,0.9375,1.52997648260396,26
2.019855782199089,0.3882,2.0724188598098268,0.9404,1.5266358062719843,27
2.015683069253517,0.3906,2.0678814664767806,0.9511,1.513833082405625,28
2.0114221597266626,0.3933,2.0643014725606155,0.9467,1.5193962238396808,29
2.007079922024856,0.3998,2.0612781321167186,0.961,1.5030274786007631,30
2.0040177055027173,0.4023,2.0575741127038456,0.9523,1.513155844560854,31
2.000916307844469,0.4026,2.0555173287725754,0.8991,1.566101716582183,32
1.9974686800671355,0.3973,2.0613801168028716,0.9568,1.506898317367408,33
1.9947945285026374,0.4047,2.053149394168975,0.9279,1.5378866985345343,34
